GeneID,Length,logFC,logCPM,F,PValue,FDR,
,,,,,,,
CG7324,3943,-0.128431479,6.963495455,2.465533325,0.165392703,0.683655519,
,,,,,,,
CG8931,1938,-0.142798836,6.344788945,2.464948852,0.165435461,0.683655519,
,,,,,,,
CtsB1,1233,-0.137294159,9.578186157,2.464764004,0.165448987,0.683655519,
,,,,,,,
Mob3,1011,0.154287188,4.666477064,2.461400196,0.165695397,0.683782325,
,,,,,,,
CG15439,3848,0.13889018,8.057167048,2.459499648,0.165834846,0.683782325,
,,,,,,,
Dp,1253,0.137547427,7.331250592,2.457837982,0.165956901,0.683782325,
,,,,,,,
CG16790,691,0.212006718,3.581050139,2.455999578,0.166092086,0.683782325,
,,,,,,,
CG1311,2262,-0.198623645,5.111986263,2.454711024,0.16618693,0.683782325,
,,,,,,,
CG9752,1023,0.19639952,3.379008391,2.454429987,0.166207626,0.683782325,
,,,,,,,
rn eval 8e-15,759,-0.351105683,0.826728075,2.454070074,0.166234135,0.683782325,
,,,,,,,
Arfrp1,724,0.163323434,4.802437067,2.453059144,0.166308627,0.683782325,
,,,,,,,
l(3)87Df,469,0.164489394,3.645590538,2.448253511,0.166663378,0.683943832,
,,,,,,,
CG14057,379,0.269094187,1.960162003,2.448079431,0.166676249,0.683943832,
,,,,,,,
AP-2sigma,701,0.258847015,4.710852484,2.445242869,0.166886163,0.683943832,
,,,,,,,
Rlip,491,0.415329822,1.647237714,2.443338142,0.167027327,0.683943832,
,,,,,,,
CG11899,2536,0.129596828,7.497318402,2.443095818,0.167045298,0.683943832,
,,,,,,,
Sas-6,1669,0.201367793,6.72910516,2.442982273,0.16705372,0.683943832,
,,,,,,,
rib_v2,765,0.287077009,1.195106772,2.441424246,0.167169339,0.683943832,
,,,,,,,
Glycogenin,796,-0.180227861,5.467190787,2.440117195,0.16726642,0.683943832,
,,,,,,,
CG13999,1235,-0.265375262,1.973780083,2.439466838,0.167314754,0.683943832,
,,,,,,,
Hr4,4933,-0.263522322,4.988740623,2.438530939,0.167384344,0.683943832,
,,,,,,,
Vps20,997,0.220199373,4.678226089,2.435844414,0.16758433,0.684083391,
,,,,,,,
CG3224,530,0.149844652,6.10265106,2.435287509,0.167625829,0.684083391,
,,,,,,,
Tnks,5538,-0.13974898,7.92978432,2.429676856,0.168044714,0.685083459,
,,,,,,,
O-fut1,2690,0.140429487,6.552042189,2.429224974,0.168078515,0.685083459,
,,,,,,,
CG30152,945,0.14625375,5.908358379,2.426062671,0.168315323,0.685321707,
,,,,,,,
TfIIFalpha,1804,0.1773825,6.012180442,2.425671184,0.168344671,0.685321707,
,,,,,,,
CG16771,1705,-0.192433833,2.856228377,2.418423566,0.168889305,0.68688804,
,,,,,,,
Gpi1,1547,-0.191759266,5.346084052,2.417268774,0.168976312,0.68688804,
,,,,,,,
CG17486,1852,-0.14208826,5.365430599,2.416401465,0.1690417,0.68688804,
,,,,,,,
Sec6,2242,-0.1445324,6.670259468,2.414712814,0.169169112,0.68698275,
,,,,,,,
Bap55,1463,0.1311529,6.622100266,2.411541492,0.169408758,0.687532838,
,,,,,,,
Nap1_v2,224,0.147702055,7.108503508,2.409458542,0.169566419,0.687749722,
,,,,,,,
Neu2,1465,0.178575407,4.682055933,2.406214353,0.169812385,0.687998854,
,,,,,,,
CG15073_v3,2678,0.158783229,5.071394334,2.405898497,0.169836359,0.687998854,
,,,,,,,
CG17272,607,0.131905504,5.974216118,2.403401278,0.17002607,0.688344809,
,,,,,,,
wds_v2,2011,0.126721016,7.375934686,2.399983379,0.170286207,0.688975278,
,,,,,,,
CG34325,1398,0.210615317,3.507816432,2.397090447,0.170506824,0.68926257,
,,,,,,,
CG12241,2723,-0.15483722,7.159486209,2.396313899,0.170566113,0.68926257,
,,,,,,,
grh,5036,0.137198186,5.905397563,2.394237779,0.170724764,0.689393336,
,,,,,,,
bgm_v4,1945,-0.12476661,10.08163555,2.393157326,0.170807411,0.689393336,
,,,,,,,
pre-mod(mdg4)-Z,373,0.305018851,2.409972472,2.390533736,0.171008331,0.689782381,
,,,,,,,
Rep,1147,-0.187281306,6.302686774,2.386347999,0.17132957,0.690010974,
,,,,,,,
Lst8,960,-0.187639352,4.752535209,2.385993341,0.171356828,0.690010974,
,,,,,,,
CG13404,576,0.406758586,0.854978433,2.385708919,0.171378692,0.690010974,
,,,,,,,
Hmu eval 0.002,830,-0.326100268,5.017003058,2.383979787,0.171511697,0.690016596,
,,,,,,,
CG1640,1297,-0.178990602,6.930391071,2.382972868,0.171589216,0.690016596,
,,,,,,,
Hira_v2,2762,-0.176786279,8.571057868,2.379461183,0.171859953,0.690101839,
,,,,,,,
T3dh,1463,0.149053429,4.866143741,2.378459042,0.171937324,0.690101839,
,,,,,,,
CG3295,1896,0.162707395,8.580489484,2.378224982,0.171955401,0.690101839,
,,,,,,,
CG6330,1833,0.127164664,7.724477946,2.375818578,0.172141417,0.690101839,
,,,,,,,
CG7766,1407,-0.133019421,6.136585471,2.374623567,0.172233896,0.690101839,
,,,,,,,
CG9674_v2,935,-1.228650417,2.434129163,2.373559902,0.17231627,0.690101839,
,,,,,,,
CG10948,2807,-0.157347848,5.429946648,2.373221988,0.172342451,0.690101839,
,,,,,,,
fd68A,1783,0.128664653,8.762899537,2.368620226,0.17269954,0.690825926,
,,,,,,,
Prp3,2022,0.126761638,7.269823228,2.367356549,0.172797781,0.690825926,
,,,,,,,
Picot,3799,-0.15730965,6.59150765,2.36568179,0.172928101,0.690825926,
,,,,,,,
CG44245,1549,-0.219114432,2.357283621,2.363874683,0.173068875,0.690825926,
,,,,,,,
ebd2,877,-0.171349325,3.687602581,2.360671393,0.173318807,0.690825926,
,,,,,,,
CG7630,537,0.161470927,6.058895249,2.358302078,0.173503996,0.690825926,
,,,,,,,
Dhfr,1090,0.145405804,5.404992304,2.357809745,0.173542512,0.690825926,
,,,,,,,
Hsc70-4,259,-0.13392062,9.119401946,2.3576043,0.173558588,0.690825926,
,,,,,,,
CG3835_v2,1421,0.291184564,1.566172542,2.357472849,0.173568875,0.690825926,
,,,,,,,
CG11107,3014,0.131852584,7.762917821,2.355671681,0.173709917,0.690825926,
,,,,,,,
CG42542,1780,0.156061683,4.424091059,2.354442488,0.173806262,0.690825926,
,,,,,,,
NT5E-2,1935,0.164066607,3.73533824,2.353682456,0.173865871,0.690825926,
,,,,,,,
Aats-met,1511,0.199554372,3.480749555,2.353448785,0.173884204,0.690825926,
,,,,,,,
CG43313,2872,-0.183031747,6.022862297,2.350937024,0.174081436,0.691193379,
,,,,,,,
CanB2,1727,0.143122004,7.414808628,2.343925029,0.174633707,0.692602003,
,,,,,,,
CG7564,1524,0.187183343,5.896755843,2.343666602,0.174654108,0.692602003,
,,,,,,,
CG31547,3947,0.147841084,5.619665669,2.34209564,0.174778197,0.692602003,
,,,,,,,
CG12581,1639,0.171732461,3.295359833,2.340685613,0.174889679,0.692602003,
,,,,,,,
GstE2,1124,0.126513239,8.616048721,2.339784392,0.174960985,0.692602003,
,,,,,,,
CG9360_v4,934,0.222232879,2.255371785,2.338116501,0.175093059,0.692709291,
,,,,,,,
crol_v2,2225,0.147345145,6.68989743,2.333217632,0.175481794,0.693831251,
,,,,,,,
CG2990,3638,-0.142449676,8.006600117,2.330502736,0.175697749,0.694057594,
,,,,,,,
lig,2280,0.166599017,8.741373985,2.329854194,0.175749392,0.694057594,
,,,,,,,
Nopp140,1419,0.125048123,6.838095441,2.324407839,0.176183927,0.694913704,
,,,,,,,
Not3,2306,0.158753163,8.593281889,2.324083752,0.176209832,0.694913704,
,,,,,,,
timeout,4424,0.190110914,5.852267336,2.321989446,0.176377363,0.694913704,
,,,,,,,
CG14230,2009,0.132585021,6.690152717,2.32070006,0.176480616,0.694913704,
,,,,,,,
CG33123,3736,0.137183333,8.131463241,2.319168966,0.176603336,0.694913704,
,,,,,,,
Inx5,419,-0.162215795,8.387064665,2.318690071,0.176641745,0.694913704,
,,,,,,,
CG1513,2832,0.132400834,7.726534112,2.315740244,0.17687859,0.694913704,
,,,,,,,
CG8005,1194,0.189101731,2.674795536,2.315435075,0.176903118,0.694913704,
,,,,,,,
beag,1734,0.183353208,6.022999306,2.312159015,0.177166732,0.694913704,
,,,,,,,
zinc finger CCHC-type and RNA-binding motif-containing protein 1 [Culex quinquefasciatus] eval 3e-51,1691,0.160145711,3.770512986,2.311575262,0.177213762,0.694913704,
,,,,,,,
Grip163,6306,-0.134775876,7.319466515,2.310177219,0.177326469,0.694913704,
,,,,,,,
CG1942,1383,-0.145034234,6.903918591,2.310022383,0.177338957,0.694913704,
,,,,,,,
Asator_v2,1223,0.259758809,2.241099664,2.308858418,0.177432879,0.694913704,
,,,,,,,
FBgn0010482 eval 0.005,4407,0.135901695,6.518865467,2.308764514,0.177440459,0.694913704,
,,,,,,,
CG12848,628,0.184259101,4.633392846,2.30412041,0.177815919,0.695971083,
,,,,,,,
FBgn0002578 eval 0.001,1062,0.175723844,3.793487573,2.299481733,0.178192056,0.696612208,
,,,,,,,
CG7277,1484,0.14750779,4.081696682,2.299145695,0.178219348,0.696612208,
,,,,,,,
CG9293,1027,0.137910723,4.840747452,2.297302902,0.178369118,0.696612208,
,,,,,,,
PCID2,1327,0.132690701,6.142913115,2.295886448,0.178484359,0.696612208,
,,,,,,,
CG15449,1176,0.139653802,5.063409767,2.295601697,0.178507538,0.696612208,
,,,,,,,
Tango5_v2,2058,-0.137021554,6.0978021,2.293559882,0.178673872,0.696625673,
,,,,,,,
CG11802,1165,0.173603364,3.783399558,2.292760891,0.17873902,0.696625673,
,,,,,,,
CG5644,1610,0.214112876,6.837917483,2.291674154,0.178827685,0.696625673,
,,,,,,,
plu,384,0.1356087,8.876657956,2.288022897,0.179126036,0.696913869,
,,,,,,,
UbcE2M,1402,0.168120527,7.502769463,2.281019964,0.179700223,0.696913869,
,,,,,,,
Ufd1-like,1110,-0.166939804,5.896203086,2.280676641,0.17972844,0.696913869,
,,,,,,,
AGAP007641-PA [Anopheles gambiae str. PEST] eval 2e-15,1094,0.208581383,5.399918652,2.277775534,0.179967121,0.696913869,
,,,,,,,
Oseg1_v4,1351,0.338023457,1.534825513,2.275856287,0.180125268,0.696913869,
,,,,,,,
eIF4G,6666,0.144747138,10.09443989,2.275608692,0.180145684,0.696913869,
,,,,,,,
eff_v2,579,0.17012679,4.416309249,2.274419754,0.180243767,0.696913869,
,,,,,,,
stc,4780,-0.289890364,9.051854179,2.272999094,0.180361064,0.696913869,
,,,,,,,
AAEL005886-PA [Aedes aegypti] eval 0,3267,0.187504687,4.347814333,2.272652625,0.180389687,0.696913869,
,,,,,,,
CG10463,3031,0.141619479,4.670583581,2.272259393,0.180422181,0.696913869,
,,,,,,,
CG42358,1237,0.165530644,4.443896111,2.271607965,0.180476028,0.696913869,
,,,,,,,
CG8602,2471,-0.192481205,7.086777499,2.270009864,0.180608224,0.696913869,
,,,,,,,
Ostgamma,1354,-0.170580911,5.863423047,2.269912816,0.180616256,0.696913869,
,,,,,,,
CG10324,1535,0.223228642,6.607549143,2.269702614,0.180633655,0.696913869,
,,,,,,,
dx,2848,-0.191765336,5.944813133,2.267736259,0.180796533,0.696913869,
,,,,,,,
p24-1,1026,-0.140474118,6.403208737,2.2677108,0.180798643,0.696913869,
,,,,,,,
CG4558,1779,-0.126170404,6.355334573,2.266409416,0.180906555,0.696913869,
,,,,,,,
CG9497,1410,0.236725914,4.282993036,2.265690654,0.180966194,0.696913869,
,,,,,,,
CG5844,1298,0.124560993,6.644666956,2.263919896,0.181113241,0.696913869,
,,,,,,,
Hel25E,1951,0.13981014,8.986896375,2.263879563,0.181116593,0.696913869,
,,,,,,,
Mical,10022,-0.135155307,7.637928551,2.262347507,0.181243957,0.696913869,
,,,,,,,
Brf,2312,0.169370313,5.384028998,2.260971007,0.181358497,0.696913869,
,,,,,,,
CG12945,1549,-0.13366602,6.203897913,2.260871123,0.181366812,0.696913869,
,,,,,,,
Rrp6,3753,0.158280443,8.591784147,2.259833262,0.181453247,0.696913869,
,,,,,,,
lea_v2,2000,0.174622348,3.062740537,2.258535092,0.181561442,0.696913869,
,,,,,,,
laccase2,3384,-0.377205593,3.19169041,2.257503308,0.1816475,0.696913869,
,,,,,,,
CG33170,203,-0.165264392,4.507497103,2.255000161,0.18185652,0.697309678,
,,,,,,,
CG11970,6351,0.153548427,7.563099563,2.253738465,0.181962004,0.697309678,
,,,,,,,
AnxB10_v2,1126,0.234326307,2.184127004,2.250855907,0.182203324,0.69773236,
,,,,,,,
morgue,1531,-0.24502996,4.194465151,2.249248664,0.182338074,0.69773236,
,,,,,,,
CG3270,1699,0.13042898,6.474283786,2.248635694,0.182389502,0.69773236,
,,,,,,,
sav,2519,0.199256238,6.185159246,2.244492316,0.182737666,0.69804213,
,,,,,,,
CG4658,2321,0.119480541,7.267991443,2.244366565,0.182748248,0.69804213,
,,,,,,,
CG31612 eval 1e-06,835,0.175098018,2.989091277,2.243896419,0.182787816,0.69804213,
,,,,,,,
Ge-1,3891,0.191702843,7.598651335,2.240867722,0.183043008,0.698612381,
,,,,,,,
GstS1,1058,0.125755396,9.743404247,2.237968893,0.183287727,0.699142031,
,,,,,,,
CG12213,2577,0.142661385,6.134592174,2.235480722,0.183498148,0.699540311,
,,,,,,,
His3:CG33866,392,-0.137151644,6.849343285,2.23195298,0.183797068,0.70007472,
,,,,,,,
Hers,9199,-0.142924816,6.058868988,2.229565948,0.183999721,0.70007472,
,,,,,,,
CG8323,476,0.380018663,0.823634921,2.228194361,0.184116308,0.70007472,
,,,,,,,
VhaAC45,1651,-0.12111046,7.406123543,2.228048202,0.184128738,0.70007472,
,,,,,,,
CG10600,4639,0.150392075,7.927515659,2.227517962,0.184173841,0.70007472,
,,,,,,,
Atf6,2149,-0.16601368,6.493170724,2.225980932,0.184304673,0.70007472,
,,,,,,,
CG8680,496,0.157642344,5.285678766,2.225085572,0.184380946,0.70007472,
,,,,,,,
Ced-12,3237,-0.124111523,6.174532912,2.221168769,0.184715132,0.70039831,
,,,,,,,
FBgn0262734 eval 5e-06,815,-0.136264267,5.040291903,2.220810366,0.184745754,0.70039831,
,,,,,,,
Pde11,5213,-0.315797082,8.494478551,2.219750565,0.184836346,0.70039831,
,,,,,,,
FBgn0040973 eval 6e-04,312,0.207795188,5.191128877,2.217870658,0.184997195,0.70039831,
,,,,,,,
CG12343,745,-0.216865747,4.502058127,2.217636973,0.185017203,0.70039831,
,,,,,,,
GH20133 [Drosophila grimshawi] eval 8e-23,478,0.138206351,4.662750191,2.216635403,0.185102993,0.70039831,
,,,,,,,
Grx-1,1122,0.192737668,4.449176672,2.208782855,0.18577756,0.70254792,
,,,,,,,
CG1628,1029,0.216773044,2.222385522,2.205943776,0.186022304,0.703070553,
,,,,,,,
CycD,3076,-0.123505359,7.9674238,2.201268231,0.186426355,0.704194343,
,,,,,,,
FBgn0034396 eval 0.002,500,0.124447437,9.57286044,2.199111423,0.18661316,0.704496706,
,,,,,,,
CG42732,4758,-0.141359763,4.241578419,2.195502666,0.186926313,0.705275437,
,,,,,,,
LSm1,568,0.127257911,6.24489518,2.187044552,0.187663191,0.707141187,
,,,,,,,
CoVIII,370,0.139702888,6.764743351,2.185980313,0.187756199,0.707141187,
,,,,,,,
Zip71B,2292,-0.177499557,6.458880116,2.185274086,0.187817955,0.707141187,
,,,,,,,
wts,6622,-0.152690789,7.098397839,2.184914073,0.187849447,0.707141187,
,,,,,,,
Zir,6481,-0.169124922,7.070168763,2.176960467,0.188547104,0.708176145,
,,,,,,,
CG31759,1887,0.122242493,6.046365585,2.176284984,0.188606523,0.708176145,
,,,,,,,
eIF-4B,1409,0.160701472,8.452290765,2.17538393,0.188685826,0.708176145,
,,,,,,,
Der-2,1408,-0.128639802,6.656385438,2.173516681,0.188850315,0.708176145,
,,,,,,,
Sas-4,2926,0.228771309,6.598858702,2.173062876,0.188890323,0.708176145,
,,,,,,,
Rlip_v2,2013,0.291904393,3.939974834,2.172890088,0.188905559,0.708176145,
,,,,,,,
CG2004,1658,0.147080939,4.876589434,2.172163983,0.188969604,0.708176145,
,,,,,,,
Ssadh,1950,-0.142147911,6.095938025,2.171294999,0.189046292,0.708176145,
,,,,,,,
CG14613,1167,0.132545309,5.200596009,2.168980923,0.189250725,0.708176145,
,,,,,,,
CG12107,605,-0.181813427,6.484046216,2.168456291,0.189297116,0.708176145,
,,,,,,,
Liprin-beta,3659,0.124279249,7.342160357,2.167742055,0.189360299,0.708176145,
,,,,,,,
srpk79D,3130,-0.135568317,5.70486431,2.16654448,0.189466306,0.708176145,
,,,,,,,
Socs36E,3329,-0.145151132,6.919455971,2.165944089,0.189519484,0.708176145,
,,,,,,,
SRPK,3006,0.172302021,7.99518774,2.164718346,0.189628114,0.708181056,
,,,,,,,
Syx18,1013,0.128706691,6.292061791,2.160717876,0.189983268,0.708870946,
,,,,,,,
Mnn1,2401,-0.144300393,6.324332134,2.159853299,0.190060147,0.708870946,
,,,,,,,
egh,2549,-0.130533895,6.538211033,2.159010776,0.190135107,0.708870946,
,,,,,,,
mthl5,2407,0.228197523,6.523741917,2.157761207,0.19024636,0.708885224,
,,,,,,,
CG6414,2034,0.124129639,7.417527188,2.15425898,0.190558666,0.709648215,
,,,,,,,
grsm_v2,815,-0.165114553,7.821182487,2.151419539,0.190812402,0.7099556,
,,,,,,,
l(2)06225,765,0.15307232,6.484021011,2.150748322,0.190872453,0.7099556,
,,,,,,,
TFAM,969,0.115899487,7.248931386,2.145899312,0.191307068,0.7099556,
,,,,,,,
CG9356,2244,0.117788943,7.153035667,2.145241417,0.191366143,0.7099556,
,,,,,,,
ZnT86D,2326,-0.120964541,6.824429325,2.145115463,0.191377455,0.7099556,
,,,,,,,
CG42240,2116,-0.168739206,3.34944931,2.143820212,0.191493846,0.7099556,
,,,,,,,
CG7945,1024,0.123131312,6.330673246,2.141790572,0.191676431,0.7099556,
,,,,,,,
kra,942,0.151257614,8.765582344,2.13861078,0.191962978,0.7099556,
,,,,,,,
CG5104,901,0.129138024,5.749676612,2.137739297,0.192041618,0.7099556,
,,,,,,,
Cep89,1536,0.224026588,2.277254583,2.136072641,0.192192139,0.7099556,
,,,,,,,
CG12054,2425,-0.154835427,6.623422718,2.135739269,0.192222267,0.7099556,
,,,,,,,
Rab1,1644,0.127654508,7.330666221,2.132423905,0.192522251,0.7099556,
,,,,,,,
CG32181 eval 2e-05,1308,0.238960729,1.78370502,2.131261028,0.19262763,0.7099556,
,,,,,,,
CG13163,851,0.131485066,6.435194742,2.130079538,0.192734778,0.7099556,
,,,,,,,
TrxT,1078,0.125698909,7.634606969,2.128684028,0.192861445,0.7099556,
,,,,,,,
CG6422,4317,-0.257789157,7.897660748,2.127991715,0.192924328,0.7099556,
,,,,,,,
Sp7,1419,0.239484174,3.865961861,2.127918657,0.192930966,0.7099556,
,,,,,,,
frc,1562,-0.148525681,5.768778625,2.126193516,0.193087796,0.7099556,
,,,,,,,
CG8939,2484,0.131978887,6.749458128,2.124463328,0.193245266,0.7099556,
,,,,,,,
CG10904,927,-0.148243661,4.397415864,2.123685118,0.193316153,0.7099556,
,,,,,,,
Ndae1_v2,1123,-0.23588471,2.148090921,2.123421177,0.193340204,0.7099556,
,,,,,,,
CG33331,957,-0.156014176,4.191609535,2.123033473,0.19337554,0.7099556,
,,,,,,,
dgt1_v2,1769,0.169500603,7.724330967,2.122703362,0.193405634,0.7099556,
,,,,,,,
spt4,1691,0.127949966,5.716668349,2.120913516,0.193568917,0.7099556,
,,,,,,,
CG5514,3761,0.221084312,6.588210424,2.120885716,0.193571455,0.7099556,
,,,,,,,
Tango13,2685,-0.147364817,5.558555486,2.120766902,0.193582301,0.7099556,
,,,,,,,
CG15073_v2,2081,0.121559425,6.699782242,2.120077829,0.193645222,0.7099556,
,,,,,,,
CG12499,5766,-0.128148882,6.578493911,2.119986148,0.193653596,0.7099556,
,,,,,,,
Itp-r83A,9671,-0.124019948,8.501755606,2.117257947,0.193903015,0.710435769,
,,,,,,,
CG31126,555,0.175717371,3.587771787,2.116199676,0.193999887,0.710435769,
,,,,,,,
CG8080,1577,0.126591177,6.783985735,2.114365754,0.194167924,0.710656757,
,,,,,,,
d4,937,0.124571951,6.926493795,2.11279906,0.194311639,0.71078853,
,,,,,,,
CG4199,2504,0.121277231,8.049575408,2.110085249,0.194560939,0.711306169,
,,,,,,,
CG14641,1417,-0.171931574,6.677885873,2.104398465,0.195084819,0.712119329,
,,,,,,,
TH1,2029,0.12756599,5.952490039,2.103747743,0.195144893,0.712119329,
,,,,,,,
CG3797,2281,-0.231648594,5.362207846,2.103062642,0.195208169,0.712119329,
,,,,,,,
Nup154,4297,0.170604233,7.961534441,2.102825557,0.195230073,0.712119329,
,,,,,,,
SMSr_v2,2458,0.12768033,6.053561675,2.10168039,0.195335922,0.712119329,
,,,,,,,
CG34161,404,0.194133108,3.35226769,2.098583126,0.195622616,0.712119329,
,,,,,,,
CG13344,2454,0.122681163,7.029554136,2.098189357,0.195659107,0.712119329,
,,,,,,,
fwe,1665,-0.166199977,6.948138009,2.09760842,0.195712962,0.712119329,
,,,,,,,
CG10395,928,0.125379987,5.632617348,2.096033014,0.195859112,0.712119329,
,,,,,,,
CG4747_v2,1303,0.168629942,8.314315343,2.095820885,0.195878802,0.712119329,
,,,,,,,
l(2)35Be,770,0.161327533,5.01375234,2.09483446,0.195970405,0.712119329,
,,,,,,,
ras,2705,0.118930806,7.559649885,2.089873026,0.196432062,0.713040541,
,,,,,,,
U26,2568,0.204151667,2.957573072,2.089787629,0.196440022,0.713040541,
,,,,,,,
dgt1,843,0.149410014,6.036326326,2.087521899,0.196651372,0.713415286,
,,,,,,,
CG7791,2166,0.145181982,5.291146648,2.084961066,0.196890639,0.713557794,
,,,,,,,
mam,8152,-0.328717966,6.564551792,2.084766695,0.196908817,0.713557794,
,,,,,,,
Pex6,2916,-0.121580379,5.6295117,2.082807857,0.197092141,0.713557794,
,,,,,,,
elm,743,0.120654822,6.430912143,2.082476469,0.197123179,0.713557794,
,,,,,,,
CG1544,2869,-0.135822274,4.492792692,2.081106517,0.197251563,0.713631066,
,,,,,,,
kat-60L1,2568,0.128058169,6.068219958,2.077147305,0.197623267,0.714208201,
,,,,,,,
msk_v3,2691,0.189122528,8.543052027,2.076934423,0.197643281,0.714208201,
,,,,,,,
yellow-b,1869,0.213211525,5.297116042,2.075950997,0.197735776,0.714208201,
,,,,,,,
ps,1793,-0.209934886,2.74151287,2.07175693,0.198130935,0.715244003,
,,,,,,,
Cyp12a4_v2,1854,-0.144551005,4.597104993,2.070084321,0.198288839,0.715268043,
,,,,,,,
CG9641,1601,-0.273256152,2.898777656,2.068026195,0.198483383,0.715268043,
,,,,,,,
l(3)07882,2756,0.12377019,6.613139713,2.067882255,0.198496999,0.715268043,
,,,,,,,
CG7172,993,0.124055762,6.030145253,2.066023244,0.198672973,0.715268043,
,,,,,,,
CG10638_v3,1130,0.119285993,6.596465827,2.064971096,0.198772668,0.715268043,
,,,,,,,
His2B:CG33870,463,-0.162750981,8.037908999,2.064810024,0.198787936,0.715268043,
,,,,,,,
CG7598,993,-0.198546384,5.386785942,2.063548526,0.198907574,0.715308492,
,,,,,,,
Cat,1815,-0.161930298,7.023669427,2.059057169,0.199334358,0.716452849,
,,,,,,,
mei-9,3004,0.160203175,5.233929161,2.057753749,0.199458458,0.716508635,
,,,,,,,
FBgn0020238 eval 2e-10,299,0.128016476,7.986587184,2.054312684,0.199786612,0.717296981,
,,,,,,,
His3:CG33866_v2,296,0.155191356,6.153581793,2.050380765,0.200162517,0.718255818,
,,,,,,,
CG14512,510,0.215650953,3.543491648,2.048103391,0.200380702,0.718647964,
,,,,,,,
Galphao,2910,0.168073395,6.421968574,2.046383893,0.200545664,0.718848908,
,,,,,,,
CG30381,774,-0.193778172,3.378413596,2.044148778,0.200760382,0.719226367,
,,,,,,,
CG10466,826,0.181738698,5.448058937,2.042922898,0.200878286,0.719226367,
,,,,,,,
CG17829,1694,0.130173826,5.906733844,2.041887569,0.200977939,0.719226367,
,,,,,,,
CG5789,4732,-0.14225406,6.758322988,2.040659488,0.201096237,0.719259657,
,,,,,,,
pre-mod(mdg4)-I eval 2e-04,479,0.203967875,2.020510629,2.037701366,0.201381592,0.719890102,
,,,,,,,
CG12428,2003,-0.181846498,4.591157224,2.032300975,0.201904031,0.721291354,
,,,,,,,
Pop2,3173,-0.116697095,7.676707084,2.031260168,0.202004941,0.721291354,
,,,,,,,
NT1 eval 6e-04,733,0.143406134,5.929489611,2.03026507,0.202101487,0.721291354,
,,,,,,,
ari-1,2466,0.141867846,6.815104203,2.027725006,0.202348226,0.721781592,
,,,,,,,
CG3045,510,0.227589161,2.207145913,2.024726157,0.202640084,0.722432154,
,,,,,,,
jim_v3,3132,-0.123863166,6.19677821,2.022902133,0.202817898,0.722675652,
,,,,,,,
bif,6886,-0.252874492,9.249182738,2.021523221,0.202952468,0.722764886,
,,,,,,,
Pms2,2765,0.168532359,6.205914493,2.018166974,0.20328054,0.723542764,
,,,,,,,
CG8249,1717,-0.179797797,2.913513082,2.013868684,0.203701802,0.723663927,
,,,,,,,
EF2,1002,0.123467842,9.773525717,2.013624449,0.203725777,0.723663927,
,,,,,,,
CAHbeta,1200,0.197857126,2.857213036,2.012852016,0.203801625,0.723663927,
,,,,,,,
Cap-D2,4232,0.180110012,6.775322217,2.012364746,0.203849493,0.723663927,
,,,,,,,
CG12341,1584,-0.12003592,5.782227425,2.012228353,0.203862894,0.723663927,
,,,,,,,
pgant6,2731,-0.21399926,6.860852793,2.00922446,0.204158369,0.72407985,
,,,,,,,
CG31368,4431,0.11545283,7.031391479,2.008806644,0.204199515,0.72407985,
,,,,,,,
bib,2891,0.121827635,5.719771251,2.005593377,0.204516352,0.724696136,
,,,,,,,
fog,2524,-0.286391204,6.216267059,2.004817574,0.204592954,0.724696136,
,,,,,,,
NiPp1,1421,0.128249431,7.554191884,2.002329721,0.204838876,0.725177974,
,,,,,,,
CG5703,807,0.132355405,6.030412917,1.997679788,0.205299651,0.7261185,
,,,,,,,
CG3735,2565,0.137226429,5.736061894,1.997428306,0.205324613,0.7261185,
,,,,,,,
vri,5062,-0.164888361,6.362347403,1.992429433,0.205821702,0.726452459,
,,,,,,,
CG15098,689,-0.207279371,2.864073312,1.992107878,0.205853737,0.726452459,
,,,,,,,
CG15725,1409,0.22361948,1.915105815,1.990685102,0.205995564,0.726452459,
,,,,,,,
Aats-pro,1348,0.18796774,4.049759445,1.98916008,0.206147738,0.726452459,
,,,,,,,
CG1815,5997,0.232217642,7.831938103,1.987177717,0.206345787,0.726452459,
,,,,,,,
CG2614,1937,0.129176387,5.236985251,1.986768083,0.206386746,0.726452459,
,,,,,,,
CG12384,1242,0.278497569,5.691469146,1.984625691,0.20660115,0.726452459,
,,,,,,,
Nat1,200,-0.154260975,4.040824152,1.984325678,0.2066312,0.726452459,
,,,,,,,
Zw10,2283,0.117269016,7.545521961,1.984186564,0.206645135,0.726452459,
,,,,,,,
hep,5821,-0.119174091,8.20488914,1.98297127,0.206766937,0.726452459,
,,,,,,,
exu,1481,-0.171390141,8.541579518,1.982608126,0.206803352,0.726452459,
,,,,,,,
Gprk2,4285,0.119949434,6.99142905,1.98226401,0.206837868,0.726452459,
,,,,,,,
nos,1321,0.150207726,5.482148938,1.981792695,0.206885156,0.726452459,
,,,,,,,
Axs,2128,-0.13924958,5.268712294,1.980416865,0.207023283,0.726452459,
,,,,,,,
CG11504_v3,971,0.182352078,2.716970811,1.979948597,0.207070325,0.726452459,
,,,,,,,
Mys45A,2264,0.129581635,7.285595403,1.978466527,0.207219314,0.72658887,
,,,,,,,
Hsc70-4_v2,409,-0.129757884,9.769357058,1.976808251,0.207386198,0.72678785,
,,,,,,,
